Posted On,BHK,Rent,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2022-04-24,3,15000,1350.0,2,False,True,1,2.0,True,False,False,False,False,True,False,False,True
2022-05-06,2,7000,600.0,2,True,False,2,2.0,False,True,False,False,False,True,False,True,False
2022-05-31,3,10000,1200.0,1,False,False,2,4.0,False,True,False,False,False,True,False,True,False
2022-06-25,2,7000,700.0,1,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-06-27,3,3200,800.0,2,False,False,1,3.0,True,False,False,False,False,True,False,True,False
2022-06-19,2,6000,600.0,1,True,False,0,3.0,True,False,False,False,False,True,False,True,False
2022-06-19,2,12000,900.0,2,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-31,2,6000,750.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-07-01,3,10000,1250.0,2,False,True,1,2.0,False,True,False,False,False,True,False,True,False
2022-05-31,3,12000,1000.0,3,True,False,2,2.0,False,True,False,False,False,True,False,True,False
2022-06-03,2,8000,600.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-30,2,5300,650.0,1,False,True,1,1.0,True,False,False,False,False,True,False,True,False
2022-06-24,2,5000,450.0,1,False,True,2,3.0,True,False,False,False,False,True,False,False,False
2022-06-11,3,8500,800.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-19,3,22000,1000.0,2,True,False,0,3.0,True,False,False,False,False,True,False,True,False
2022-06-19,2,7000,1000.0,1,False,True,0,3.0,False,True,False,False,False,True,False,True,False
2022-06-25,3,25000,1400.0,3,False,False,5,5.0,True,False,False,False,False,True,False,False,False
2022-06-11,2,7000,600.0,1,True,False,1,4.0,True,False,False,False,False,True,False,False,False
2022-06-13,2,15000,723.0,1,False,False,0,3.0,True,False,False,False,False,True,False,False,True
2022-06-19,1,6000,320.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-17,2,8000,900.0,1,True,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-05-27,3,40000,1400.0,2,False,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-24,1,6000,2160.0,1,True,False,1,2.0,False,True,False,False,False,True,False,False,False
2022-06-22,2,15000,650.0,1,True,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-16,2,6500,800.0,1,True,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-08,3,8000,800.0,1,True,False,2,3.0,False,True,False,False,False,True,False,True,False
2022-05-05,1,5500,500.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-28,3,9000,1700.0,2,True,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-04-27,1,6000,130.0,1,True,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-05-14,1,15000,505.0,1,False,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-07-04,4,30000,4000.0,3,False,False,0,3.0,False,True,False,False,False,True,False,True,False
2022-05-22,3,30000,1250.0,2,False,True,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-15,1,5000,700.0,1,False,True,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-12,2,15000,900.0,1,False,True,0,1.0,False,True,False,False,False,True,False,False,False
2022-06-26,1,6500,650.0,1,True,False,1,1.0,False,True,False,False,False,True,False,True,False
2022-06-29,2,4500,750.0,1,False,False,0,1.0,False,True,False,False,False,True,False,True,False
2022-05-07,2,7000,450.0,1,False,True,0,3.0,True,False,False,False,False,True,False,True,False
2022-06-25,1,6500,350.0,1,True,False,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-12,1,17500,480.0,2,False,False,1,2.0,True,False,False,False,False,True,False,False,False
2022-06-18,2,10000,900.0,1,False,True,0,3.0,False,True,False,False,False,True,False,True,False
2022-05-24,1,1500,200.0,1,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-06,3,25000,1100.0,3,False,True,2,3.0,False,True,False,False,False,True,False,True,False
2022-04-28,2,12000,800.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-05,3,7500,1000.0,2,False,False,0,2.0,True,False,False,False,False,True,False,True,False
2022-06-11,1,7000,800.0,1,False,True,1,2.0,True,False,False,False,False,True,False,True,False
2022-06-29,1,3500,200.0,1,True,False,-2,4.0,False,True,False,False,False,True,False,True,False
2022-06-26,3,10000,1190.0,2,False,True,1,2.0,True,False,False,False,False,True,False,True,False
