Posted On,BHK,Size,Bathroom,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Floor Level,Total Floors,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family
2022-06-12,2,894.0,2,False,True,3,4.0,True,False,False,False,False,False,False,False,False
2022-06-22,2,800.0,2,True,False,5,6.0,False,True,True,False,False,False,False,True,False
2022-05-12,6,3400.0,7,False,True,0,2.0,False,True,False,False,True,False,False,True,False
2022-06-06,2,900.0,1,True,False,3,4.0,True,False,False,False,True,False,False,True,False
2022-07-04,2,800.0,2,False,True,1,4.0,False,True,False,False,False,False,False,True,False
2022-05-06,2,60.0,2,False,True,3,5.0,False,True,False,False,True,False,False,True,False
2022-07-08,3,2064.0,4,True,False,11,19.0,False,True,True,False,False,False,False,False,True
2022-04-29,2,850.0,2,False,True,0,2.0,False,True,True,False,False,False,False,True,False
2022-05-08,2,1100.0,2,False,True,0,1.0,True,False,False,False,False,True,False,True,False
2022-06-16,3,1500.0,3,True,False,2,4.0,True,False,True,False,False,False,False,False,False
2022-05-19,3,1337.0,3,True,False,28,30.0,True,False,False,False,False,False,True,True,False
2022-05-15,4,2500.0,4,True,False,1,2.0,False,True,False,False,False,False,False,False,True
2022-06-18,3,1800.0,3,True,False,3,4.0,True,False,False,True,False,False,False,True,False
2022-05-14,1,550.0,2,False,False,12,20.0,True,False,False,False,False,False,True,False,False
2022-06-29,3,1800.0,3,False,True,3,5.0,True,False,True,False,False,False,False,False,False
2022-06-07,4,2880.0,5,False,True,45,60.0,True,False,False,False,False,False,True,False,False
2022-07-01,2,900.0,1,False,True,3,4.0,True,False,False,True,False,False,False,True,False
2022-05-19,2,700.0,2,True,False,1,2.0,True,False,False,False,False,False,False,True,False
2022-05-14,3,1450.0,2,False,True,0,1.0,False,True,False,False,False,True,False,False,True
2022-07-01,2,1000.0,2,True,False,0,3.0,False,True,False,False,False,False,False,True,False
2022-05-22,5,200.0,5,False,True,2,2.0,True,False,False,True,False,False,False,False,False
2022-07-06,1,450.0,2,False,True,9,20.0,True,False,False,False,False,False,True,False,True
2022-06-01,3,1530.0,3,True,False,9,13.0,True,False,True,False,False,False,False,True,False
2022-06-13,1,850.0,1,True,False,2,4.0,False,True,False,True,False,False,False,False,False
2022-04-28,1,400.0,1,True,False,2,7.0,True,False,False,False,False,False,False,False,False
2022-05-14,2,700.0,1,True,False,1,3.0,False,True,False,True,False,False,False,True,False
2022-05-21,2,1000.0,2,True,False,2,3.0,True,False,False,True,False,False,False,True,False
2022-07-06,2,700.0,1,False,True,1,3.0,False,True,True,False,False,False,False,True,False
2022-07-02,2,1000.0,2,False,True,0,1.0,False,True,True,False,False,False,False,True,False
2022-06-12,3,80.0,2,True,False,3,3.0,True,False,True,False,False,False,False,True,False
2022-05-20,1,140.0,1,False,True,2,3.0,False,True,False,False,True,False,False,True,False
2022-07-01,3,2110.0,3,False,True,3,4.0,True,False,False,False,False,False,False,False,False
2022-05-25,2,1000.0,3,True,False,0,1.0,False,True,False,False,False,False,False,True,False
2022-05-31,3,1500.0,3,True,False,2,6.0,True,False,False,False,True,False,False,False,False
2022-05-29,3,1600.0,3,False,False,3,6.0,False,True,False,False,True,False,False,True,False
2022-06-30,2,800.0,2,False,False,5,8.0,True,False,False,False,False,False,True,True,False
2022-06-16,2,1000.0,2,True,False,2,2.0,False,True,False,False,True,False,False,True,False
2022-06-20,1,550.0,1,True,False,3,6.0,True,False,False,False,False,False,False,True,False
2022-04-28,2,900.0,2,True,False,3,3.0,True,False,False,True,False,False,False,False,False
2022-05-09,2,450.0,1,False,True,1,3.0,False,True,False,False,False,True,False,True,False
2022-05-12,1,450.0,1,False,True,2,3.0,False,True,True,False,False,False,False,True,False
2022-07-06,2,800.0,2,False,False,1,5.0,True,False,False,False,False,False,True,True,False
2022-06-20,1,350.0,1,True,False,1,3.0,False,True,True,False,False,False,False,True,False
2022-05-11,2,1100.0,2,False,True,1,5.0,False,True,False,False,False,False,False,True,False
2022-06-12,2,575.0,2,True,False,4,7.0,True,False,False,False,False,False,True,True,False
2022-05-19,3,1350.0,2,False,False,0,5.0,False,True,False,False,False,False,False,True,False
2022-05-18,2,1040.0,2,True,False,1,7.0,True,False,False,False,False,False,False,True,False
2022-04-29,2,900.0,1,True,False,2,3.0,False,True,False,True,False,False,False,True,False
2022-06-23,1,700.0,1,False,False,15,32.0,False,True,False,False,False,False,True,True,False
2022-05-23,1,650.0,1,False,True,1,2.0,False,True,False,False,False,False,False,True,False
2022-07-06,2,900.0,2,True,False,1,4.0,True,False,True,False,False,False,False,False,True
2022-06-04,3,1250.0,2,False,True,4,5.0,True,False,False,False,True,False,False,False,False
2022-06-08,3,3500.0,2,True,False,1,2.0,False,True,False,False,False,True,False,True,False
2022-04-30,3,100.0,2,False,True,1,2.0,True,False,True,False,False,False,False,True,False
2022-05-12,2,1200.0,2,False,False,1,3.0,False,True,True,False,False,False,False,True,False
2022-06-29,2,1500.0,2,True,False,0,1.0,False,True,True,False,False,False,False,True,False
2022-06-10,1,400.0,1,False,True,0,3.0,False,True,True,False,False,False,False,True,False
2022-05-27,2,400.0,1,False,True,1,4.0,True,False,False,True,False,False,False,False,False
2022-07-06,3,1800.0,3,False,True,14,30.0,True,False,False,False,True,False,False,True,False
2022-05-25,1,430.0,1,False,True,5,7.0,True,False,False,False,False,False,True,False,True
2022-06-08,3,165.0,2,True,False,2,4.0,True,False,False,True,False,False,False,False,False
2022-06-17,1,450.0,1,False,True,1,3.0,True,False,False,True,False,False,False,True,False
2022-06-04,1,400.0,2,False,False,8,8.0,False,True,False,False,False,False,True,True,False
2022-07-06,3,1915.0,4,True,False,8,23.0,False,True,False,False,False,False,True,False,True
2022-06-23,2,850.0,2,False,False,6,10.0,True,False,False,False,False,False,True,True,False
2022-05-31,2,1100.0,2,True,False,1,5.0,True,False,False,False,False,False,False,False,False
2022-06-04,1,455.0,1,True,False,2,5.0,True,False,False,False,False,False,False,True,False
2022-05-26,3,2000.0,2,True,False,0,2.0,False,True,False,False,False,True,False,True,False
2022-06-16,1,400.0,1,True,False,2,2.0,True,False,False,False,False,False,False,True,False
2022-06-20,1,400.0,1,False,True,3,4.0,False,True,False,False,False,False,False,True,False
2022-07-07,1,400.0,1,False,True,4,4.0,True,False,False,False,False,False,True,True,False
2022-07-06,2,550.0,2,True,False,7,7.0,True,False,False,False,False,False,True,False,False
2022-06-09,3,970.0,2,False,False,1,3.0,True,False,False,False,False,False,True,True,False
2022-06-22,1,450.0,1,False,True,3,5.0,False,True,False,False,True,False,False,True,False
2022-06-30,2,1400.0,1,False,True,3,4.0,False,True,False,True,False,False,False,False,False
2022-05-19,2,800.0,2,False,True,1,3.0,False,True,False,False,False,False,False,True,False
2022-06-23,3,1100.0,3,True,False,4,12.0,True,False,False,False,False,False,True,True,False
2022-06-03,3,1000.0,3,False,False,6,7.0,True,False,False,False,False,False,True,True,False
2022-05-15,1,600.0,1,False,False,2,4.0,False,True,False,False,False,True,False,True,False
2022-06-11,3,1500.0,3,True,False,1,3.0,True,False,False,True,False,False,False,False,False
2022-06-30,2,1125.0,2,False,False,0,2.0,False,True,False,True,False,False,False,True,False
2022-05-05,1,600.0,1,False,True,1,3.0,False,True,False,False,False,False,False,True,False
2022-06-17,1,350.0,1,True,False,2,4.0,True,False,False,True,False,False,False,True,False
2022-07-06,2,670.0,2,False,True,17,22.0,True,False,False,False,False,False,True,True,False
2022-05-27,3,1600.0,2,True,False,2,4.0,True,False,False,True,False,False,False,False,False
2022-06-10,3,950.0,3,False,True,2,12.0,True,False,False,False,False,False,True,True,False
2022-05-05,2,120.0,2,True,False,1,4.0,False,True,False,True,False,False,False,True,False
2022-05-27,3,2000.0,3,True,False,3,14.0,True,False,True,False,False,False,False,False,False
2022-07-10,3,1500.0,3,True,False,0,14.0,True,False,True,False,False,False,False,True,False
2022-06-04,2,1300.0,2,True,False,3,5.0,False,True,False,False,False,False,False,True,False
2022-05-20,2,1150.0,2,False,False,2,4.0,False,True,True,False,False,False,False,True,False
2022-06-15,1,500.0,2,False,False,8,13.0,True,False,False,False,False,False,True,True,False
2022-07-02,2,900.0,2,False,True,1,3.0,False,True,True,False,False,False,False,True,False
2022-06-28,2,650.0,2,False,True,4,4.0,True,False,False,False,True,False,False,False,False
2022-06-25,2,1100.0,2,True,False,1,5.0,False,True,False,False,True,False,False,True,False
2022-06-15,2,1200.0,1,False,True,0,1.0,False,True,False,False,False,True,False,True,False
2022-05-27,2,650.0,1,False,True,1,4.0,False,True,False,False,False,False,False,True,False
2022-05-20,3,1100.0,2,False,True,1,1.0,True,False,True,False,False,False,False,False,True
2022-05-10,2,1400.0,3,False,False,0,1.0,False,True,False,False,False,False,False,True,False
2022-07-02,2,90.0,1,False,True,0,3.0,False,True,False,False,True,False,False,True,False
2022-06-30,2,700.0,2,True,False,25,41.0,True,False,False,False,False,False,True,True,False
2022-06-18,2,950.0,2,True,False,1,4.0,False,True,False,False,False,True,False,True,False
2022-06-04,2,650.0,2,True,False,5,6.0,True,False,False,False,False,False,True,False,True
2022-06-23,2,1100.0,2,True,False,2,2.0,True,False,True,False,False,False,False,False,False
2022-06-14,2,133.0,2,True,False,1,2.0,False,True,False,False,True,False,False,True,False
2022-06-18,3,950.0,2,True,False,3,5.0,True,False,False,True,False,False,False,False,False
2022-06-22,2,900.0,2,False,True,0,2.0,False,True,False,False,True,False,False,True,False
2022-06-24,3,1300.0,3,False,False,1,4.0,True,False,False,False,True,False,False,True,False
2022-05-30,3,800.0,2,False,True,2,2.0,True,False,False,False,False,True,False,False,False
